PRODUCT_NAME,Ground Truth,Answer,kor_Match_2,kor_Match_4,kor_Match_6
"Nutraj 100% Natural Dried Premium California Walnut Kernels, 500g (2 X 250g) | Pure Without Shell Walnut Kernels | Akhrot ...",80232,80232,True,True,True
"Cadbury Bournvita 5 Star Magic Health Drink, 750g Pouch",220210,190590,False,False,False
Sugar Free Green Natural Stevia Jar(200 g),210690,210130,True,False,False
"Daawat Pulav, Long Grains, Fluffy Basmati for finest Pulav, 1 Kg",100620,100630,True,True,False
Tata Tea Gold | Assam teas with Gently Rolled Aromatic Long Leaves | Rich & Aromatic Chai | Black Tea | 500g,90230,90230,True,True,True
"Nescafe Classic Coffee Jar, 200 g with Free Red Mug and Scoop Spoon",90122,90111,True,True,False
"Organic Tattva, Organic Wheat Dalia / Daliya, 500g",110422,190300,False,False,False
"Mccain Chilli Garlic Potato Bites, 420 g Regular Pack",200410,190110,False,False,False
"Saffola Honey Gold, 100% Pure NMR Tested Honey, Made with Kashmir Honey, 1Kg",40900,40900,True,True,True
Figaro Olive Oil - 100ml Bottle,150910,150920,True,True,False
"Fresh Organic Ginger, 100g",91011,70320,False,False,False
"Dabur Amla Juice: Rich Source of Vitamin C and Antioxidants for Immunity boosting |Pure, Natural and 100% Ayurvedic Juice -1L",200989,200989,True,True,True
"Catch Red Chilli Powder, 100g",90422,210390,False,False,False
"Pedigree Dentastix Oral Care Dog Treat for Adult Large Breed (25 Kg+), Monthly Pack (28 Sticks) 1.08 Kg",230910,230910,True,True,True
"Fresh Baby Orange Nagpur, 1kg",80510,80510,True,True,True
"Britannia Milk Bikis Biscuits, 170.5g or 190.5g",190531,190531,True,True,True
"Veeba Garlic Mayonnaise, 250g",210390,210690,True,False,False
"Mother Dairy Pure Healthy Ghee, 1L",40590,40590,True,True,True
"Cadbury Dairy Milk Crispello Chocolate Bar, 35 g",180632,180632,True,True,True
